package,count,api
org.atmosphere.websocket.protocol,1,org.atmosphere:atmosphere-runtime
org.jose4j.jwx,3,org.bitbucket.b_c:jose4j
org.sonar.java,2,org.sonarsource.java:java-frontend
com.mitchellbosecke.pebble.template,6,com.mitchellbosecke:pebble
org.apache.commons.math3.random,10,org.apache.commons:commons-math3
elemental2.core,2,org.dominokit:mdi-icons-processor
org.brotli.dec,3,org.brotli:dec
org.objectweb.asm.signature,5,org.ow2.asm:asm
com.pengrad.telegrambot,1,com.github.pengrad:java-telegram-bot-api
org.atmosphere.client,1,org.atmosphere:atmosphere-runtime
org.apache.commons.collections4,29,org.apache.commons:commons-collections4
org.springframework.security.oauth2.common.exceptions,4,org.springframework.security.oauth:spring-security-oauth2
org.java_websocket.exceptions,1,org.java-websocket:Java-WebSocket
org.apache.lucene.search,30,org.apache.lucene:lucene-core
org.codehaus.jackson.type,1,org.codehaus.jackson:jackson-core-lgpl
org.apache.maven.artifact.versioning,11,org.apache.maven:maven-artifact
org.zeroturnaround.zip,6,org.zeroturnaround:zt-zip
com.almasb.fxgl.scene,1,com.github.almasb:fxgl-scene
com.sun.msv.verifier.regexp,1,net.java.dev.msv:msv-core
org.junit.rules,266,junit:junit
org.springframework.test.annotation,8,org.springframework:spring-test
org.apache.mahout.common.commandline,1,org.apache.mahout:mahout-mr
org.apache.velocity.runtime,15,org.apache.velocity:velocity
com.fasterxml.jackson.datatype.hibernate5,2,com.fasterxml.jackson.datatype:jackson-datatype-hibernate5
com.fasterxml.jackson.databind.type,44,org.apache.flink:flink-table-planner_2.11
org.cornutum.tcases.openapi.testwriter,1,org.cornutum.tcases:tcases-openapi
org.apache.velocity.app,27,org.apache.velocity:velocity
com.almasb.fxgl.core.serialization,1,com.github.almasb:fxgl-core
org.openjdk.jmh.annotations,80,org.openjdk.jmh:jmh-core
com.alibaba.excel.event,3,com.alibaba:easyexcel
org.apache.commons.lang3.math,26,org.apache.commons:commons-lang3
org.apache.http.entity,22,org.apache.httpcomponents:httpcore
us.springett.parsers.cpe.values,1,us.springett:cpe-parser
org.codehaus.stax2.typed,3,org.codehaus.woodstox:stax2-api
oshi.hardware,16,com.github.oshi:oshi-json
org.bouncycastle.crypto.generators,12,org.bouncycastle:bcprov-jdk15on
